CallTypeGroup,UnitType,Neighborhooods
Alarm,AIRPORT,Lakeshore
Alarm,AIRPORT,Potrero Hill
Alarm,CHIEF,Bayview Hunters Point
Alarm,CHIEF,Bernal Heights
Alarm,CHIEF,Castro/Upper Market
Alarm,CHIEF,Chinatown
Alarm,CHIEF,Excelsior
Alarm,CHIEF,Financial District/South Beach
Alarm,CHIEF,Glen Park
Alarm,CHIEF,Golden Gate Park
Alarm,CHIEF,Haight Ashbury
Alarm,CHIEF,Hayes Valley
Alarm,CHIEF,Inner Richmond
Alarm,CHIEF,Inner Sunset
Alarm,CHIEF,Japantown
Alarm,CHIEF,Lakeshore
Alarm,CHIEF,Lincoln Park
Alarm,CHIEF,Lone Mountain/USF
Alarm,CHIEF,Marina
Alarm,CHIEF,McLaren Park
Alarm,CHIEF,Mission
Alarm,CHIEF,Mission Bay
Alarm,CHIEF,Nob Hill
Alarm,CHIEF,Noe Valley
Alarm,CHIEF,North Beach
Alarm,CHIEF,Oceanview/Merced/Ingleside
Alarm,CHIEF,Outer Mission
Alarm,CHIEF,Outer Richmond
Alarm,CHIEF,Pacific Heights
Alarm,CHIEF,Portola
Alarm,CHIEF,Potrero Hill
Alarm,CHIEF,Presidio
Alarm,CHIEF,Presidio Heights
Alarm,CHIEF,Russian Hill
Alarm,CHIEF,Seacliff
Alarm,CHIEF,South of Market
Alarm,CHIEF,Sunset/Parkside
Alarm,CHIEF,Tenderloin
Alarm,CHIEF,Treasure Island
Alarm,CHIEF,Twin Peaks
Alarm,CHIEF,Visitacion Valley
Alarm,CHIEF,Western Addition
Alarm,CHIEF,West of Twin Peaks
Alarm,ENGINE,Bayview Hunters Point
Alarm,ENGINE,Bernal Heights
Alarm,ENGINE,Castro/Upper Market
Alarm,ENGINE,Chinatown
Alarm,ENGINE,Excelsior
Alarm,ENGINE,Financial District/South Beach
Alarm,ENGINE,Glen Park
Alarm,ENGINE,Golden Gate Park
Alarm,ENGINE,Haight Ashbury
Alarm,ENGINE,Hayes Valley
Alarm,ENGINE,Inner Richmond
Alarm,ENGINE,Inner Sunset
Alarm,ENGINE,Japantown
Alarm,ENGINE,Lakeshore
Alarm,ENGINE,Lincoln Park
Alarm,ENGINE,Lone Mountain/USF
Alarm,ENGINE,Marina
Alarm,ENGINE,McLaren Park
Alarm,ENGINE,Mission
Alarm,ENGINE,Mission Bay
Alarm,ENGINE,Nob Hill
Alarm,ENGINE,Noe Valley
Alarm,ENGINE,North Beach
Alarm,ENGINE,Oceanview/Merced/Ingleside
Alarm,ENGINE,Outer Mission
Alarm,ENGINE,Outer Richmond
Alarm,ENGINE,Pacific Heights
Alarm,ENGINE,Portola
Alarm,ENGINE,Potrero Hill
Alarm,ENGINE,Presidio
Alarm,ENGINE,Presidio Heights
Alarm,ENGINE,Russian Hill
Alarm,ENGINE,Seacliff
Alarm,ENGINE,South of Market
Alarm,ENGINE,Sunset/Parkside
Alarm,ENGINE,Tenderloin
Alarm,ENGINE,Treasure Island
Alarm,ENGINE,Twin Peaks
Alarm,ENGINE,Visitacion Valley
Alarm,ENGINE,Western Addition
Alarm,ENGINE,West of Twin Peaks
Alarm,INVESTIGATION,Bayview Hunters Point
Alarm,INVESTIGATION,Bernal Heights
Alarm,INVESTIGATION,Castro/Upper Market
Alarm,INVESTIGATION,Chinatown
Alarm,INVESTIGATION,Excelsior
Alarm,INVESTIGATION,Financial District/South Beach
Alarm,INVESTIGATION,Golden Gate Park
Alarm,INVESTIGATION,Haight Ashbury
Alarm,INVESTIGATION,Hayes Valley
Alarm,INVESTIGATION,Inner Richmond
Alarm,INVESTIGATION,Inner Sunset
Alarm,INVESTIGATION,Japantown
Alarm,INVESTIGATION,Lakeshore
Alarm,INVESTIGATION,Lone Mountain/USF
Alarm,INVESTIGATION,Marina
Alarm,INVESTIGATION,McLaren Park
Alarm,INVESTIGATION,Mission
Alarm,INVESTIGATION,Mission Bay
Alarm,INVESTIGATION,Nob Hill
Alarm,INVESTIGATION,Noe Valley
Alarm,INVESTIGATION,North Beach
Alarm,INVESTIGATION,Oceanview/Merced/Ingleside
Alarm,INVESTIGATION,Outer Mission
Alarm,INVESTIGATION,Outer Richmond
Alarm,INVESTIGATION,Pacific Heights
Alarm,INVESTIGATION,Portola
Alarm,INVESTIGATION,Potrero Hill
Alarm,INVESTIGATION,Presidio
Alarm,INVESTIGATION,Presidio Heights
Alarm,INVESTIGATION,Russian Hill
Alarm,INVESTIGATION,South of Market
Alarm,INVESTIGATION,Sunset/Parkside
Alarm,INVESTIGATION,Tenderloin
Alarm,INVESTIGATION,Treasure Island
Alarm,INVESTIGATION,Twin Peaks
Alarm,INVESTIGATION,Visitacion Valley
Alarm,INVESTIGATION,Western Addition
Alarm,INVESTIGATION,West of Twin Peaks
Alarm,MEDIC,Bayview Hunters Point
Alarm,MEDIC,Bernal Heights
Alarm,MEDIC,Castro/Upper Market
Alarm,MEDIC,Chinatown
Alarm,MEDIC,Excelsior
Alarm,MEDIC,Financial District/South Beach
Alarm,MEDIC,Glen Park
Alarm,MEDIC,Golden Gate Park
Alarm,MEDIC,Haight Ashbury
Alarm,MEDIC,Hayes Valley
Alarm,MEDIC,Inner Richmond
Alarm,MEDIC,Inner Sunset
Alarm,MEDIC,Japantown
Alarm,MEDIC,Lakeshore
Alarm,MEDIC,Lincoln Park
Alarm,MEDIC,Lone Mountain/USF
Alarm,MEDIC,Marina
Alarm,MEDIC,McLaren Park
Alarm,MEDIC,Mission
Alarm,MEDIC,Mission Bay
Alarm,MEDIC,Nob Hill
Alarm,MEDIC,Noe Valley
Alarm,MEDIC,North Beach
Alarm,MEDIC,Oceanview/Merced/Ingleside
Alarm,MEDIC,Outer Mission
Alarm,MEDIC,Outer Richmond
Alarm,MEDIC,Pacific Heights
Alarm,MEDIC,Portola
Alarm,MEDIC,Potrero Hill
Alarm,MEDIC,Presidio
Alarm,MEDIC,Presidio Heights
Alarm,MEDIC,Russian Hill
Alarm,MEDIC,Seacliff
Alarm,MEDIC,South of Market
Alarm,MEDIC,Sunset/Parkside
Alarm,MEDIC,Tenderloin
Alarm,MEDIC,Treasure Island
Alarm,MEDIC,Twin Peaks
Alarm,MEDIC,Visitacion Valley
Alarm,MEDIC,Western Addition
Alarm,MEDIC,West of Twin Peaks
Alarm,PRIVATE,Bayview Hunters Point
Alarm,PRIVATE,Bernal Heights
Alarm,PRIVATE,Castro/Upper Market
Alarm,PRIVATE,Chinatown
Alarm,PRIVATE,Excelsior
Alarm,PRIVATE,Financial District/South Beach
Alarm,PRIVATE,Glen Park
Alarm,PRIVATE,Golden Gate Park
Alarm,PRIVATE,Haight Ashbury
Alarm,PRIVATE,Hayes Valley
Alarm,PRIVATE,Inner Richmond
Alarm,PRIVATE,Inner Sunset
Alarm,PRIVATE,Japantown
Alarm,PRIVATE,Lakeshore
Alarm,PRIVATE,Lincoln Park
Alarm,PRIVATE,Lone Mountain/USF
Alarm,PRIVATE,Marina
Alarm,PRIVATE,McLaren Park
Alarm,PRIVATE,Mission
Alarm,PRIVATE,Mission Bay
Alarm,PRIVATE,Nob Hill
Alarm,PRIVATE,Noe Valley
Alarm,PRIVATE,North Beach
Alarm,PRIVATE,Oceanview/Merced/Ingleside
Alarm,PRIVATE,Outer Mission
Alarm,PRIVATE,Outer Richmond
Alarm,PRIVATE,Pacific Heights
Alarm,PRIVATE,Portola
Alarm,PRIVATE,Potrero Hill
